名称,名称_カナ,郵便番号,住所,電話番号,FAX番号,緯度,経度,営業日,開始時間,終了時間,備考
大東図書館,ﾀﾞｲﾄｳﾄｼｮｶﾝ,699-1251,島根県雲南市大東町大東1038,0854-43-6131,0854-43-6131,35.320768,132.964456,月火水木土日,10:00,18:00,金曜日は休館日、毎月末日は利用不可(ただし、休館日の場合は翌日とする)　12/29から1/3まで利用不可
雲南市大東体育文化センター,ｳﾝﾅﾝｼﾀﾞｲﾄｳﾀｲｲｸﾌﾞﾝｶｾﾝﾀｰ,699-1251 ,島根県雲南市大東町大東1405,0854-43-5511,0854-43-5512,35.321631,132.969019,月火木金土日,8:30,22:30,12/29から1/3まで利用不可
雲南市大東ふれあい運動場　陸上競技場,ｳﾝﾅﾝｼﾀﾞｲﾄｳﾌﾚｱｲｳﾝﾄﾞｳｼﾞｮｳ ﾘｸｼﾞｮｳｷｮｳｷﾞｼﾞｮｳ,699-1245 ,島根県雲南市大東町養賀967,0854-43-2107,0854-43-9060,35.322734,132.949473,月火水木金土日,,,年間利用可能、照明は4月から10月利用可(18:30～22：30）　＊電話番号は大東中学校
雲南市大東ふれあい運動場　球技場,ｳﾝﾅﾝｼﾀﾞｲﾄｳﾌﾚｱｲｳﾝﾄﾞｳｼﾞｮｳ ｷｭｳｷﾞｼﾞｮｳ,699-1245,島根県雲南市大東町養賀969,0854-43-2107,0854-43-9060,35.322401,132.95041,月火水木金土日,,,年間利用可能、照明は4月から10月利用可(18:30～22：30）　＊電話番号は大東中学校
雲南市幡屋体育館,ｳﾝﾅﾝｼﾊﾀﾔﾀｲｲｸｶﾝ,699-1232,島根県雲南市大東町仁和寺958,0854-43-2800,0854-43-2800,35.348515,132.943141,月火水木金土日,8:30,22:30,12/29から1/3まで利用不可　＊電話番号は幡屋交流センター
雲南市大東公園(体育館、野球場、多目的広場他),ｳﾝﾅﾝｼﾀﾞｲﾄｳｺｳｴﾝ(ﾀｲｲｸｶﾝ､ﾔｷｭｳｼﾞｮｳ､ﾀﾓｸﾃｷﾋﾛﾊﾞﾎｶ),699-1251,島根県雲南市大東町大東1094,0854-43-5511,0854-43-5512,35.319938,132.966575,火水木金土日,8:30,22:00,月曜日は休館日　１/1から1/3まで、12/29から12/31まで利用不可
加茂図書館,ｶﾓﾄｼｮｶﾝ,699-1106,島根県雲南市加茂町加茂中972-5,0854-49-8739,0854-49-8696,35.34713,132.905076,月火水金土日,10:00,18:00,木曜日は休館日、毎月末日は利用不可(ただし、休館日の場合は翌日とする)　12/29から1/3まで利用不可
雲南市加茂B&G海洋センター　ラソンテ,ｳﾝﾅﾝｼｶﾓﾋﾞｰｱﾝﾄﾞｼﾞｰｶｲﾖｳｾﾝﾀｰ ﾗｿﾝﾃ,699-1105,島根県雲南市加茂町宇治228-1,0854-49-7100,0854-49-8440,35.344952,132.898193,月火木金土日,9:00,22:00,水曜日は休館日　　１/1から1/3まで、12/29から12/31まで利用不可
加茂中央公園スポーツの丘,ｶﾓﾁｭｳｵｳｺｳｴﾝ ｽﾎﾟｰﾂﾉｵｶ,699-1105,島根県雲南市加茂町宇治228-1,0854-49-7100,0854-49-8440,35.340623,132.893184,,,,
加茂中央公園ふれあいの丘,ｶﾓﾁｭｳｵｳｺｳｴﾝ ﾌﾚｱｲﾉｵｶ,699-1105,島根県雲南市加茂町宇治228-1,0854-49-7100,0854-49-8440,35.340033,132.896286,,,,
木次図書館,ｷｽｷﾄｼｮｶﾝ,699-1332,島根県雲南市木次町木次1008,0854-42-1021,0854-42-2274,35.287427,132.899272,火水木金土日,10:00,18:00,月曜日は休館日、毎月末日は利用不可(ただし、休館日の場合は翌日とする)　12/29から1/3まで利用不可
雲南市木次体育館,ｳﾝﾅﾝｼｷｽｷﾀｲｲｸｶﾝ,699-1334,島根県雲南市木次町新市409,0854-42-0375,,35.286927,132.89839,月火水金土日,9:00,22:00,木曜日は休館日　　１/1から1/3まで、12/29から12/31まで利用不可
雲南市斐伊体育館,ｳﾝﾅﾝｼﾋｲﾀｲｲｸｶﾝ,699-1311,島根県雲南市木次町里方917,0854-42-1636,0854-42-1636,35.306591,132.90424,月火木金土日,9:00,22:00,水曜日は休館日　　１/1から1/3まで、12/29から12/31まで利用不可　　＊電話番号は斐伊交流センター
雲南市斐伊運動場,ｳﾝﾅﾝｼﾋｲｳﾝﾄﾞｳｼﾞｮｳ,699-1311,島根県雲南市木次町里方910-1,0854-42-1636,0854-42-1636,35.306836,132.904198,月火水木金土日,8:30,日没,年間利用可能　＊電話番号は斐伊交流センター
木次水泳プール,ｷｽｷｽｲｴｲﾌﾟｰﾙ,699-1332,島根県雲南市木次町木次754-1,ー,ー,35.286205,132.90443,月火水木金土日,10:00,16:00,7/31から8/31まで利用可能
斐伊水泳プール,ﾋｲｽｲｴｲﾌﾟｰﾙ,699-1311,島根県雲南市木次町里方911-3,ー,ー,35.306127,132.90531,月火水木金土日,10:00,16:00,7/31から8/31まで利用可能
寺領水泳プール,ｼﾞﾘｮｳｽｲｴｲﾌﾟｰﾙ,699-1322,島根県雲南市木次町寺領515,ー,ー,35.278289,132.929103,月火水木金土日,10:00,16:00,7/31から8/31まで利用可能
西日登水泳プール,ﾆｼﾋﾉﾎﾞﾘｽｲｴｲﾌﾟｰﾙ,699-1324,島根県雲南市木次町西日登990-6,ー,ー,35.269315,132.904764,月火水木金土日,10:00,16:00,7/31から8/31まで利用可能
温泉水泳プール,ｵﾝｾﾝｽｲｴｲﾌﾟｰﾙ,699-1342,島根県雲南市木次町平田506-1,ー,ー,35.212676,132.939632,月火水木金土日,10:00,16:00,7/31から8/31まで利用可能
雲南市木次艇庫,ｳﾝﾅﾝｼｷｽｷﾃｲｺ,699-1333,島根県雲南市木次町下熊谷235-7,ー,ー,35.287979,132.892971,月火水木金土日,8:00,18:00,4/１から10/31まで利用可能
雲南市永井隆記念館,ｳﾝﾅﾝｼﾅｶﾞｲﾀｶｼｷﾈﾝｶﾝ,690-2404,島根県雲南市三刀屋町199-3,0854-45-2239,0854-45-2239,35.287557,132.866281,火水木金土日,9:00,17:00,月曜日、休日の翌日は休館日　１/1から1/4まで、12/29から12/31まで利用不可
雲南市三刀屋文化体育館　アスパル,ｳﾝﾅﾝｼﾐﾄﾔﾌﾞﾝｶﾀｲｲｸｶﾝ ｱｽﾊﾟﾙ,690-2405,島根県雲南市三刀屋町古城1-1,0854-45-9222,0854-45-9223,35.294206,132.875074,月水木金土日,9:00,22:00,火曜日は休館日　１/1から1/3まで、12/29から12/31まで利用不可
吉田町生涯学習交流館,ﾖｼﾀﾞﾁｮｳｼｮｳｶﾞｲｶﾞｸｼｭｳｺｳﾘｭｳｶﾝ,690-2801,島根県雲南市吉田町吉田1082-8,0854-74-0219,0854-74-0232,35.166175,132.851672,月火水木金土日,9:00,22:00,12/28から翌年1/4まで利用不可　　＊電話番号は吉田交流センター
雲南市吉田勤労者体育センタ―,ｳﾝﾅﾝｼﾖｼﾀﾞｷﾝﾛｳｼｬﾀｲｲｸｾﾝﾀｰ,690-2801,島根県雲南市吉田町吉田1061-2,0854-74-0211,0854-74-0047,35.168204,132.855111,月火水木金土日,9:00,22:00,年間利用可能
雲南市掛合体育館,ｳﾝﾅﾝｼｶｹﾔﾀｲｲｸｶﾝ,690-2701,島根県雲南市掛合町掛合2125-3,0854-62-0013,0854-62-1737,35.196485,132.812488,月火水木金土日,9:00,17:00,12/29から1/3まで利用不可　夜間は23時まで利用可能
雲南市掛合野球場,ｳﾝﾅﾝｼｶｹﾔﾔｷｭｳｼﾞｮｳ,690-2701,島根県雲南市掛合町掛合4410-1,0854-62-0013,0854-62-1737,35.213705,132.804781,月火水木金土日,8:00,21:00,3/1から11/30まで利用可能　（照明装置は4/1から10/31利用可）
